Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
575;TERRAIN APHP-LAENNEC - 65-77, RUE VANEAU  4, IMPASSE OUDINOT;75007;Paris;2005;PARIS HAB;66;16;50;0;0;construction neuve;"opération abandonnée; réagréée";7;logement familial;650094.1815;6861316.213;"{""type"": ""Point"", ""coordinates"": [2.319919237852682, 48.84995409513963]}";48.8499540951, 2.31991923785
597;8, BD DE STRASBOURG;75010;Paris;2005;FLS;1;1;0;0;0;acquisition réhabilitation;;10;logement familial;652681.4107;6863538.12;"{""type"": ""Point"", ""coordinates"": [2.354927183106143, 48.87013063961534]}";48.8701306396, 2.35492718311
2111;158, BD MAGENTA;75010;Paris;2012;PARIS HAB;11;3;4;0;4;acquisition réhabilitation;;10;logement familial;652366.8796;6864945.318;"{""type"": ""Point"", ""coordinates"": [2.35048172140631, 48.88276202601285]}";48.882762026, 2.35048172141
2114;19, RUE HENRI POINCARE;75020;Paris;2012;PARIS HAB;2;0;2;0;0;construction neuve;;20;logement familial;656049.6516;6863610.167;"{""type"": ""Point"", ""coordinates"": [2.400835597427278, 48.871017194498094]}";48.8710171945, 2.40083559743
2115;2 A 10, RUE LE DANTEC;75013;Paris;2012;PARIS HAB;1;0;1;0;0;construction neuve;;13;logement familial;652044.9665;6858982.141;"{""type"": ""Point"", ""coordinates"": [2.346765026179668, 48.82911184204373]}";48.829111842, 2.34676502618
2119;20-26, RUE DE CRONSTADT;75015;Paris;2012;PARIS HAB;2;2;0;0;0;construction neuve;;15;logement familial;648729.1006;6859554.169;"{""type"": ""Point"", ""coordinates"": [2.301530244148485, 48.834000897580545]}";48.8340008976, 2.30153024415
2123;26, RUE CAUCHY 15-31, RUE DE LA MONTAGNE DE L'ESPEROU;75015;Paris;2012;PARIS HAB;1;0;1;0;0;acquisition conventionnement;;15;logement familial;646815.5527;6860502.747;"{""type"": ""Point"", ""coordinates"": [2.275344593240264, 48.84237637541881]}";48.8423763754, 2.27534459324
2126;3 RUE JEAN SICARD;75015;Paris;2012;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;15;logement familial;648530.8739;6858954.187;"{""type"": ""Point"", ""coordinates"": [2.29890248982804, 48.82858942471988]}";48.8285894247, 2.29890248983
2133;41-47, RUE DE LA GRANGE AUX BELLES - 1, RUE DES ECLUSES SAINT MARTIN;75010;Paris;2012;PARIS HAB;78;0;55;0;23;acquisition conventionnement;;10;logement familial;653645.6201;6864196.953;"{""type"": ""Point"", ""coordinates"": [2.367999359131078, 48.876125500036515]}";48.8761255, 2.36799935913
2135;5 RUE DE SENLIS;75017;Paris;2012;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;17;logement familial;648492.3009;6865525.198;"{""type"": ""Point"", ""coordinates"": [2.297580876605662, 48.88767839916823]}";48.8876783992, 2.29758087661
2145;68 RUE DES PYRENEES;75020;Paris;2012;PARIS HAB;28;0;28;0;0;construction neuve;;20;logement familial;656413.2792;6861664.246;"{""type"": ""Point"", ""coordinates"": [2.405992215497751, 48.85354241619303]}";48.8535424162, 2.4059922155
2146;7 ALLEE MARIE LAURENT;75020;Paris;2012;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;656238.9318;6861257.38;"{""type"": ""Point"", ""coordinates"": [2.403658142569951, 48.84987165482704]}";48.8498716548, 2.40365814257
2154;PORTE POUCHET - 45, RUE PIERRE REBIERE;75017;Paris;2012;PARIS HAB;19;0;0;0;19;construction neuve;;17;logement familial;650005.9701;6866580.763;"{""type"": ""Point"", ""coordinates"": [2.318097687297528, 48.89728996223603]}";48.8972899622, 2.3180976873
2155;ZAC BEDIER - 8-12, PLACE DU DOCTEUR YERSIN -  12-16, AVENUE CLAUDE REGAUD;75013;Paris;2012;PARIS HAB;24;24;0;0;0;construction neuve;;13;maison relais;653879.5545;6858060.805;"{""type"": ""Point"", ""coordinates"": [2.371854218838028, 48.8209599847771]}";48.8209599848, 2.37185421884
2157;ZAC BEDIER - ILOT YERSIN - AVENUE DE LA PORTE D'IVRY AVENUE CLAUDE REGAUD;75013;Paris;2012;PARIS HAB;21;0;0;0;21;construction neuve;;13;établissement d'hébergement pour personnes âgées dépendantes;653843.0967;6858057.459;"{""type"": ""Point"", ""coordinates"": [2.371358058983546, 48.820927284182574]}";48.8209272842, 2.37135805898
2160;185-187, RUE DE TOLBIAC;75013;Paris;2012;PIER.LUM;20;0;0;0;20;construction neuve;;13;logement familial;652409.4172;6858609.556;"{""type"": ""Point"", ""coordinates"": [2.351770948935122, 48.82578814457264]}";48.8257881446, 2.35177094894
2164;CLICHY BATIGNOLLES LOT E8;75017;Paris;2012;RSF;40;0;0;0;40;construction neuve;;17;foyer pour personnes handicapées;649672.318;6866055.277;"{""type"": ""Point"", ""coordinates"": [2.313609312062137, 48.892538501738436]}";48.8925385017, 2.31360931206
